"receptor","num_rules","final_val_loss","topRule1","topCoef1","topCov1"
"BIN_PR",10,0.190920371716828,"(((C=CC=O==1) & (Cc1ccccc1O==1)) & ([OH]==0))",17.9639635214631,16
"BIN_PXR",4,0.0523399183127785,"(((CC=O==0) & (CNc1ccccc1==1)) & ([!#1][CH]([!#1])[CH3]==1))",4.40481194170751,8
"BIN_RXR",9,0.605548558403391,"((CCO==0) & (CO==1))",33.1321368142886,3
"BIN_GR",7,0.0936096142777039,"((([!#1][CH]([!#1])C([!#1])([!#1])[!#1]==1) | ([!#1][CH2]N([!#1])[CH2][!#1]==1)) & (CC=O==1))",17.2051251062659,9
"BIN_AR",8,0.0748447413385504,"((CC(C)(C)C==1) & (COc1ccccc1==1))",3.91999117507752,23
"BIN_ERA",5,0.0972315958384672,"((([!#1]c1[cH][cH]c([!#1])c([!#1])[cH]1==1) | (Cc1ccc(O)cc1==1)) & ([!#1][OH]==1))",3.72853894746484,921
"BIN_ERB",10,0.0838218955177432,"(([!#1]c1[cH][cH]c([!#1])[cH][cH]1==1) & (Cc1cccc(O)c1==1))",17.1310171341646,8
"BIN_FXR",10,0.0455697999076405,"((([!#1][CH2]O[!#1]==1) & (Cl==1)) & (CCO==0))",3.33665886052437,6
"BIN_PPARD",7,0.0219561949105963,"((([!#1][CH2][!#1]==1) & ([!#1]C(F)(F)F==1)) & ([!#1]C(=O)[OH]==1))",17.6571102300141,3
"BIN_PPARG",7,0.0704232288130593,"((([!#1][CH]([!#1])[CH3]==0) & ([!#1]c1[cH][cH]c([!#1])[cH][cH]1==1)) & ([!#1]c1[cH][cH][cH][cH][cH]1==1))",16.2932887248159,12
"BIN_PPARA",3,0.0134164685435805,"(((CCN(C)CC==1) & (CNc1ccccc1==1)) & ([!#1][NH][!#1]==0))",-22.7065617691806,2
